n_threads,Time,GFLOPS
1,41.802187,47.844386
1,41.818009,47.826285
1,41.885763,47.748921
1,42.035083,47.579304
1,41.697517,47.964487
2,21.878647,91.413330
2,21.673800,92.277312
2,21.892640,91.354904
2,21.687281,92.219951
2,21.833177,91.603710
4,11.982049,166.916354
4,12.025168,166.317849
4,11.952438,167.329879
4,11.731571,170.480158
4,12.064452,165.776278
6,8.318781,240.419850
6,8.426628,237.342868
6,8.433352,237.153625
6,8.500355,235.284300
6,8.396711,238.188503
8,6.011706,332.684255
8,5.978754,334.517887
8,5.965646,335.252872
8,5.950192,336.123598
8,5.975987,334.672759
10,5.350610,373.789173
10,5.357945,373.277434
10,5.375809,372.037029
10,5.344841,374.192630
10,5.355510,373.447129
12,4.209147,475.155708
12,4.174748,479.070881
12,4.186175,477.763162
12,4.195366,476.716468
12,4.205867,475.526181
14,3.980336,502.470106
14,3.977366,502.845321
14,3.969093,503.893399
14,3.975743,503.050638
14,3.971649,503.569115
16,3.124447,640.113292
16,3.147524,635.420094
16,3.140315,636.878714
16,3.120249,640.974384
16,3.117727,641.493052
18,3.210580,622.940458
18,3.196298,625.723849
18,3.208409,623.361879
18,3.211680,622.727110
18,3.204599,624.103044
20,2.593256,771.231316
20,2.577256,776.019044
20,2.692834,742.711958
20,2.585534,773.534611
20,2.584824,773.747167
22,2.841199,703.928047
22,2.852446,701.152601
22,2.889514,692.157903
22,2.843640,703.323831
22,2.844980,702.992714
24,2.552053,783.682843
24,2.577559,775.928027
24,2.537458,788.190511
24,2.584470,773.852952
24,2.573115,777.268129
26,2.649463,754.870066
26,2.657187,752.675542
26,2.654927,753.316430
26,2.660528,751.730585
26,2.657547,752.573763
28,2.279505,877.383567
28,2.277766,878.053288
28,2.285308,875.155393
28,2.280006,877.190859
28,2.275310,879.001164
30,2.288022,874.117358
30,2.279534,877.372330
30,2.280146,877.136983
30,2.285472,875.092844
30,2.280445,877.021959
32,2.315734,863.656871
32,2.335623,856.302689
32,2.331013,857.996103
32,2.200751,908.780602
32,2.321757,861.416494
34,2.401026,832.977102
34,2.318858,862.493671
34,2.420712,826.203367
34,2.413973,828.509836
34,2.418691,826.893495
36,2.231110,896.414959
36,2.255724,886.633118
36,2.232690,895.780554
36,2.259352,885.209565
36,2.262145,884.116754
38,2.268638,881.586305
38,2.277189,878.275703
38,2.274162,879.444940
38,2.268580,881.608849
38,2.261463,884.383409
40,2.259962,884.970702
40,2.270697,880.786729
40,2.271712,880.393182
40,2.267677,881.959918
40,2.280387,877.044052
42,2.231991,896.060964
42,2.229968,896.873966
42,2.230881,896.506694
42,2.230443,896.682781
42,2.228648,897.404950
44,2.434591,821.493132
44,2.387178,837.809315
44,2.397914,834.058418
44,2.263213,883.699582
44,2.267554,882.007700
46,2.171677,920.947319
46,2.092950,955.588809
46,2.176021,919.108949
46,2.106053,949.643772
46,2.184750,915.436391
48,2.192294,912.286374
48,2.083685,959.838142
48,2.187452,914.305752
48,2.183274,916.055304
48,2.104201,950.479691
50,2.380630,840.113596
50,2.365174,845.603852
50,2.292741,872.318509
50,2.379914,840.366352
50,2.365044,845.650218
52,2.511646,796.290654
52,2.387252,837.783510
52,2.514830,795.282535
52,2.521254,793.256077
52,2.405903,831.288867
54,2.282515,876.226565
54,2.209374,905.233988
54,2.265938,882.636515
54,2.206071,906.589096
54,2.216237,902.430688
56,2.316711,863.292828
56,2.371427,843.374181
56,2.291388,872.833477
56,2.374069,842.435634
56,2.276961,878.363637
58,2.151132,929.742993
58,2.186449,914.725169
58,2.093140,955.502047
58,2.106895,949.264121
58,2.127302,940.157893
60,2.196466,910.553679
60,2.237976,893.664719
60,2.257030,886.120317
60,2.181640,916.741474
60,2.160809,925.579125
62,2.080060,961.510583
62,2.006993,996.515883
62,2.009977,995.036071
62,2.020611,989.799639
62,2.026539,986.904487
64,2.371314,843.414181
64,2.391317,836.359231
64,2.353312,849.865951
64,2.445309,817.892656
64,2.356105,848.858621
66,2.590020,772.194744
66,2.392683,835.881833
66,2.539686,787.498833
66,2.368333,844.475780
66,2.537437,788.196967
68,2.536482,788.493763
68,2.502937,799.061388
68,2.723118,734.452101
68,2.745345,728.505757
68,2.526173,791.711433
70,2.280004,877.191306
70,2.366679,845.065902
70,2.389461,837.008791
70,2.281090,876.773766
70,2.272982,879.901475
72,2.548641,784.731928
72,2.382326,839.515541
72,2.376245,841.664170
72,2.524272,792.307768
72,2.570630,778.019474
74,2.019092,990.544336
74,1.988007,1006.032870
74,2.013606,993.242776
74,2.009522,995.261416
74,1.984176,1007.975298
76,2.734588,731.371714
76,2.761629,724.210208
76,2.560966,780.955230
76,2.587800,772.857375
76,2.753441,726.363730
78,2.581717,774.678353
78,2.574989,776.702410
78,2.516686,794.695748
78,2.519267,793.881648
78,2.509306,797.033149
80,2.471909,809.091112
80,2.331364,857.866804
80,2.452259,815.574469
80,2.304984,867.685025
80,2.447230,817.250595
82,1.989132,1005.463656
82,1.944212,1028.694396
82,1.974445,1012.942732
82,2.019287,990.448711
82,2.038212,981.252080
84,2.505296,798.308900
84,2.495033,801.592573
84,2.482786,805.546523
84,2.499395,800.193617
84,2.501936,799.380868
86,1.994097,1002.960134
86,1.985848,1007.126352
86,1.977692,1011.279605
86,1.982263,1008.947663
86,1.988134,1005.968323
88,2.355508,849.073630
88,2.377706,841.146872
88,2.379421,840.540693
88,2.274436,879.339013
88,2.252745,887.805598
90,2.239056,893.233399
90,2.245688,890.595747
90,2.257220,886.045778
90,2.257542,885.919440
90,2.247160,890.012115
92,3.125552,639.886896
92,3.137934,637.362032
92,3.107525,643.598981
92,3.200427,624.916622
92,3.139239,637.097056
94,1.984307,1007.908687
94,1.991837,1004.098087
94,1.995219,1002.396061
94,1.996494,1001.756114
94,1.975131,1012.591001
96,2.372192,843.102125
96,2.367686,844.706610
96,2.382599,839.419425
96,2.381130,839.937177
96,2.357953,848.193158
98,2.663987,750.754479
98,2.683402,745.322550
98,2.708577,738.395126
98,2.595543,770.551600
98,2.692533,742.794863
100,2.464829,811.415197
100,2.480008,806.448901
100,2.493922,801.949842
100,2.487070,804.158980
100,2.492056,802.550118
102,2.859294,699.473373
102,2.887360,692.674216
102,2.862487,698.693195
102,2.912105,686.788313
102,2.901567,689.282837
104,2.390736,836.562496
104,2.384166,838.867716
104,2.403108,832.255695
104,2.385035,838.562221
104,2.393899,835.456981
106,1.980756,1009.715674
106,2.010021,995.014333
106,2.003294,998.355937
106,1.984363,1007.879977
106,2.028118,986.136104
108,2.506946,797.783485
108,2.454954,814.679076
108,2.456051,814.315353
108,2.455857,814.379824
108,2.454852,814.713093
110,2.571231,777.837395
110,2.570213,778.145519
110,2.556759,782.240462
110,2.600985,768.939445
110,2.561803,780.700276
112,2.763786,723.645096
112,2.748914,727.560138
112,2.785842,717.915904
112,2.764327,723.503401
112,2.776217,720.404909
114,3.147605,635.403691
114,3.061543,653.265307
114,3.183211,628.296430
114,3.176791,629.566207
114,3.148091,635.305691
116,3.841348,520.650579
116,3.813082,524.510065
116,3.860255,518.100470
116,3.846830,519.908547
116,3.910348,511.463435
118,2.047459,976.820441
118,2.022586,988.833129
118,1.978600,1010.815622
118,2.016656,991.740696
118,2.025841,987.244246
120,2.413220,828.768208
120,2.619172,763.599956
120,2.614937,764.836817
120,2.632792,759.649894
120,2.559130,781.515675
122,2.001589,999.205944
122,1.994749,1002.632533
122,2.000564,999.717862
122,2.025434,987.442727
122,2.055423,973.035763
124,4.112314,486.344167
124,4.092137,488.742190
124,4.182269,478.209264
124,4.180687,478.390252
124,4.180259,478.439200
126,2.386170,838.163212
126,2.325589,859.997220
126,2.342202,853.897331
126,2.322496,861.142401
126,2.386069,838.198761
128,3.077460,649.886620
128,3.075482,650.304508
128,3.101947,644.756352
128,3.079862,649.379786
128,3.045037,656.806534
